Good Guy ID,Bank,Defense Level,Strategy,Last Action,Attack Count,Turns
3310,330,67,two_one_two,defense,0,100
3311,330,67,two_one_two,defense,0,100
3312,518.0,48,random,defense,3,100
3313,50.0,0,copycat,money,17,100
3314,468.0,53,random,defense,1,100
3315,0.0,0,copycat,money,17,100
3316,0.0,0,copycat,money,18,100
3317,35.0,95,late_planner,defense,1,100
3318,0.0,0,copycat,money,17,100
3319,330.0,67,two_one_two,defense,3,100
3320,330.0,67,two_one_two,defense,1,100
3321,35.0,95,late_planner,defense,1,100
3322,330,67,two_one_two,defense,0,100
3323,30.0,0,copycat,money,17,100
3324,550.4,33,one_two_one,money,2,100
3325,30.0,0,copycat,money,17,100
3326,30.0,0,copycat,money,17,100
3327,160.0,1,not_weakest,money,5,100
3328,224.59999999999997,49,random,defense,4,100
3329,0.0,0,copycat,money,17,100
3330,10.0,99,be_strongest,defense,2,100
3331,110.0,1,not_weakest,money,4,100
3332,381.0,58,random,defense,1,100
3333,40.0,33,one_two_one,money,3,100
3334,470,53,random,money,0,100
3335,10.0,99,be_strongest,defense,1,100
3336,65.0,87,analyst,defense,1,100
3337,50.0,0,copycat,money,17,100
3338,65.0,87,analyst,defense,2,100
3339,528.0,45,random,defense,1,100
3340,360.0,1,not_weakest,money,3,100
3341,240.0,1,not_weakest,money,4,100
3342,550.4,33,one_two_one,money,2,100
3343,20.0,0,copycat,money,17,100
3344,518.0,45,random,money,1,100
3345,490.0,51,random,money,241,100
3346,330,67,two_one_two,defense,0,100
3347,10,99,be_strongest,defense,0,100
3348,330.0,67,two_one_two,defense,2,100
3349,580.0,1,not_weakest,money,3,100
3350,10,99,be_strongest,defense,0,100
3351,330,67,two_one_two,defense,0,100
3352,360.0,1,not_weakest,money,3,100
3353,0.0,0,copycat,money,17,100
3354,550.4,33,one_two_one,money,2,100
3355,360.0,1,not_weakest,money,3,100
3356,370.0,1,not_weakest,money,3,100
3357,330,67,two_one_two,defense,0,100
3358,230.07999999999998,33,one_two_one,money,3,100
3359,65.0,87,analyst,defense,1,100
3360,0.0,0,copycat,money,17,100
3361,35.0,95,late_planner,defense,2,100
3362,360.0,1,not_weakest,money,3,100
3363,330.0,67,two_one_two,defense,1,100
3364,10.0,99,be_strongest,defense,1,100
3365,10,99,be_strongest,defense,0,100
3366,460,54,random,defense,0,100
3367,30.0,95,late_planner,defense,2,100
3368,35.0,95,late_planner,defense,1,100
3369,60.0,33,one_two_one,money,3,100
3370,330,67,two_one_two,defense,0,100
3371,486.0,46,random,defense,1,100
3372,10.0,99,be_strongest,defense,1,100
3373,330,67,two_one_two,defense,0,100
3374,0.0,0,copycat,money,17,100
3375,0.0,33,one_two_one,money,4,100
3376,330,67,two_one_two,defense,0,100
3377,260.0,1,not_weakest,money,4,100
3378,35.0,95,late_planner,defense,1,100
3379,430,57,random,defense,0,100
3380,0.0,0,copycat,money,17,100
3381,35.0,95,late_planner,defense,4,100
3382,250.0,1,not_weakest,money,4,100
3383,65.0,87,analyst,defense,1,100
3384,10.0,99,be_strongest,defense,1,100
3385,30.0,0,copycat,money,19,100
3386,30.0,0,copycat,money,17,100
3387,21.0,97,late_planner,defense,1,100
3388,65.0,87,analyst,defense,1,100
3389,330.0,67,two_one_two,defense,1,100
3390,330.0,67,two_one_two,defense,1,100
3391,0.0,51,random,defense,2,100
3392,0.0,0,copycat,money,17,100
3393,525.2,33,one_two_one,money,2,100
3394,50.0,1,not_weakest,money,4,100
3395,19.5,87,analyst,defense,2,100
3396,35.0,95,late_planner,defense,3,100
3397,435.08,43,random,money,3,100
3398,65.0,87,analyst,defense,1,100
3399,110.0,33,one_two_one,money,3,100
3400,65.0,87,analyst,defense,1,100
3401,468.0,51,random,defense,2,100
3402,330.0,33,one_two_one,money,3,100
3403,35.0,95,late_planner,defense,2,100
3404,52.0,87,analyst,defense,2,100
3405,35.0,95,late_planner,defense,2,100
3406,0.0,0,copycat,money,17,100
3407,39.0,87,analyst,defense,3,100
3408,19.5,87,analyst,defense,2,100
3409,306.0,51,random,money,2,100
3410,30.0,0,copycat,money,17,100
3411,492.0,45,random,defense,2,100
3412,10,99,be_strongest,defense,0,100
3413,570.0,1,not_weakest,money,3,100
3414,330.0,67,two_one_two,defense,1,100
3415,35.0,95,late_planner,defense,3,100
3416,330,67,two_one_two,defense,0,100
3417,550.4,33,one_two_one,money,2,100
3418,35.0,95,late_planner,defense,2,100
3419,35.0,95,late_planner,defense,1,100
3420,65.0,87,analyst,defense,1,100
3421,360.0,1,not_weakest,money,3,100
3422,550.4,33,one_two_one,money,2,100
3423,450.0,1,not_weakest,money,3,100
3424,330,67,two_one_two,defense,0,100
3425,330.0,67,two_one_two,defense,1,100
3426,30.0,0,copycat,money,18,100
3427,10,99,be_strongest,defense,0,100
3428,330.0,67,two_one_two,defense,4,100
3429,418.0,57,random,money,1,100
3430,70.0,33,one_two_one,money,4,100
3431,10,99,be_strongest,defense,0,100
3432,330.0,67,two_one_two,defense,1,100
3433,35.0,95,late_planner,defense,3,100
3434,350.0,47,random,money,2,100
3435,10,99,be_strongest,defense,0,100
3436,550.4,33,one_two_one,money,2,100
3437,360.0,1,not_weakest,money,3,100
3438,24.0,88,analyst,defense,1,100
3439,550,45,random,defense,0,100
3440,570.0,1,not_weakest,money,3,100
3441,35.0,95,late_planner,defense,2,100
3442,170.0,1,not_weakest,money,4,100
3443,460,54,random,defense,0,100
3444,510,49,random,money,0,100
3445,35.0,95,late_planner,defense,2,100
3446,0.0,0,copycat,money,17,100
3447,10,99,be_strongest,defense,0,100
3448,330.0,67,two_one_two,defense,2,100
3449,65.0,87,analyst,defense,1,100
3450,10.0,99,be_strongest,defense,1,100
3451,321.0,67,two_one_two,defense,1,100
3452,10.0,99,be_strongest,defense,3,100
3453,260.0,1,not_weakest,money,4,100
3454,30.0,95,late_planner,defense,1,100
3455,510.0,1,not_weakest,money,3,100
3456,30.0,95,late_planner,defense,1,100
3457,90.0,33,one_two_one,money,3,100
3458,35.0,95,late_planner,defense,1,100
3459,30.0,95,late_planner,defense,2,100
3460,550.4,33,one_two_one,money,2,100
3461,550.4,33,one_two_one,money,2,100
3462,65.0,87,analyst,defense,1,100
3463,490.0,51,random,money,1,100
3464,330.0,67,two_one_two,defense,2,100
3465,65.0,87,analyst,defense,1,100
3466,325.0,67,two_one_two,defense,3,100
3467,550.4,33,one_two_one,money,2,100
3468,35.0,95,late_planner,defense,2,100
3469,35.0,95,late_planner,defense,2,100
3470,140.0,1,not_weakest,money,4,100
3471,260.0,1,not_weakest,money,4,100
3472,10.0,99,be_strongest,defense,1,100
3473,300.0,33,one_two_one,money,2,100
3474,550.4,33,one_two_one,money,2,100
3475,441.0,41,random,defense,2,100
3476,35.0,95,late_planner,defense,2,100
3477,65.0,87,analyst,defense,2,100
3478,250.0,33,one_two_one,money,2,100
3479,490.0,51,random,money,1,100
3480,10.0,99,be_strongest,defense,1,100
3481,510,49,random,defense,0,100
3482,330.0,67,two_one_two,defense,2,100
3483,20.0,96,late_planner,defense,2,100
3484,480,52,random,defense,0,100
3485,330,67,two_one_two,defense,0,100
3486,65.0,87,analyst,defense,2,100
3487,90.0,33,one_two_one,money,3,100
3488,35.0,95,late_planner,defense,2,100
3489,502.0,48,random,money,1,100
3490,35.0,95,late_planner,defense,1,100
3491,392.0,52,random,defense,2,100
3492,35.0,95,late_planner,defense,4,100
3493,65.0,87,analyst,defense,2,100
3494,160.0,33,one_two_one,money,2,100
3495,550.4,33,one_two_one,money,2,100
3496,65.0,87,analyst,defense,1,100
3497,360.0,1,not_weakest,money,3,100
3498,360.0,1,not_weakest,money,3,100
3499,30.0,95,late_planner,defense,1,100
3500,10,99,be_strongest,defense,0,100
3501,330,67,two_one_two,defense,0,100
3502,360.0,1,not_weakest,money,3,100
3503,150.0,1,not_weakest,money,4,100
3504,10,99,be_strongest,defense,0,100
3505,300.0,1,not_weakest,money,4,100
3506,500,50,random,defense,0,100
3507,230.0,33,one_two_one,money,2,100
3508,550.4,33,one_two_one,money,2,100
3509,90.0,33,one_two_one,money,3,100
3510,545.0,44,random,money,1,100
3511,10.0,99,be_strongest,defense,3,100
3512,30.0,95,late_planner,defense,1,100
3513,65.0,87,analyst,defense,2,100
3514,65.0,87,analyst,defense,3,100
3515,360.0,1,not_weakest,money,3,100
3516,463.0,50,random,money,2,100
3517,10.0,99,be_strongest,defense,1,100
3518,360.0,1,not_weakest,money,3,100
3519,550.4,33,one_two_one,money,2,100
3520,35.0,95,late_planner,defense,1,100
3521,35.0,95,late_planner,defense,4,100
3522,160.0,33,one_two_one,money,3,100
3523,65.0,87,analyst,defense,2,100
3524,65.0,87,analyst,defense,1,100
3525,35.0,95,late_planner,defense,3,100
3526,330,67,two_one_two,defense,0,100
3527,10.0,99,be_strongest,defense,1,100
3528,330,67,two_one_two,defense,0,100
3529,487.6,33,one_two_one,money,2,100
3530,430.0,33,one_two_one,money,3,100
3531,35.0,95,late_planner,defense,2,100
3532,360.0,1,not_weakest,money,3,100
3533,60.0,33,one_two_one,money,2,100
3534,65.0,87,analyst,defense,2,100
3535,35.0,95,late_planner,defense,4,100
3536,330.0,67,two_one_two,defense,2,100
3537,0.0,0,copycat,money,17,100
3538,65.0,87,analyst,defense,3,100
3539,360.0,1,not_weakest,money,3,100
3540,30.0,0,copycat,money,17,100
3541,552.0,33,one_two_one,money,2,100
3542,320.0,67,two_one_two,defense,1,100
3543,550.4,33,one_two_one,money,2,100
3544,10.0,99,be_strongest,defense,2,100
3545,65.0,87,analyst,defense,1,100
3546,570.0,1,not_weakest,money,3,100
3547,0.0,0,copycat,money,17,100
3548,65.0,87,analyst,defense,1,100
3549,474.0,51,random,money,2,100
3550,400,60,random,defense,0,100
3551,466.0,48,random,money,1,100
3552,0.0,0,copycat,money,17,100
3553,530.0,1,not_weakest,money,3,100
3554,65.0,87,analyst,defense,1,100
3555,360.0,1,not_weakest,money,3,100
